team_id,sprint_id,planned_story_points,total_tasks,actual_sprint_cost,baseline_predicted_sprint_cost,residual,baseline_absolute_error,baseline_absolute_percentage_error,sprint_size_band,small_vs_large,segmented_predicted_sprint_cost,segmented_absolute_error,segmented_absolute_percentage_error,absolute_error_improvement,absolute_percentage_error_improvement,segmented_beats_baseline
T3,S240,14.0,26,15354.0,21388.56923960333,-6034.56923960333,6034.56923960333,39.30291285400111,medium,large,20886.400940736825,5532.400940736825,36.032310412510256,502.1682988665052,3.270602441490851,True
T22,S2402,0.0,6,6017.7,7601.409560005336,-1583.7095600053362,1583.7095600053362,26.317522641629466,small,small,7239.911121943613,1222.2111219436129,20.31027006902326,361.4984380617234,6.007252572606205,True
T22,S2403,0.0,3,2877.0,6556.994228477396,-3679.994228477396,3679.994228477396,127.91081781290914,small,small,6281.862295516574,3404.862295516574,118.34766407773981,275.13193296082227,9.563153735169337,True
T22,S2404,3.0,1,2374.2,1008.3607945372635,1365.8392054627363,1365.8392054627363,57.528397163791446,small,small,958.9365155471671,1415.2634844528327,59.610120649180054,-49.424278990096354,-2.0817234853886077,False
T22,S2406,0.0,1,2009.9,987.2533066975635,1022.6466933024366,1022.6466933024366,50.880476307400194,small,small,1002.6601447187259,1007.2398552812742,50.113928816422415,15.406838021162343,0.7665474909777785,True
T22,S2407,18.0,4,5109.3,12891.717609753212,-7782.417609753212,7782.417609753212,152.3186661529605,medium,large,12395.480483291081,7286.180483291081,142.60623731804907,496.2371264621306,9.712428834911435,True
T22,S2408,0.0,2,9936.5,6849.810370684186,3086.6896293158143,3086.6896293158143,31.064153668956013,small,small,6458.750178572729,3477.749821427271,34.99974660521583,-391.0601921114567,-3.9355929362598197,False
T3,S241,10.5,11,7100.3,12932.354421472019,-5832.0544214720185,5832.0544214720185,82.13814094435472,medium,small,15507.60242411377,8407.302424113768,118.4077070562338,-2575.2480026417497,-36.26956611187909,False
T22,S2410,0.0,2,9957.9,6849.810370684186,3108.089629315814,3108.089629315814,31.21230007648012,small,small,6458.750178572729,3499.1498214272706,35.13943523661887,-391.0601921114567,-3.9271351601387536,False
T22,S2411,3.0,3,1127.0,6375.721136886973,-5248.721136886973,5248.721136886973,465.7250343289239,small,small,6669.64578110301,5542.64578110301,491.80530444569746,-293.92464421603745,-26.080270116773534,False
T22,S2412,3.0,1,802.5,1069.394707638459,-266.89470763845907,266.89470763845907,33.257907493888986,small,small,1098.0835255216718,295.58352552167185,36.83283807123637,-28.688817883212778,-3.5749305773473807,False
T22,S2413,0.0,6,5924.7,6210.085088856397,-285.3850888563975,285.3850888563975,4.816869864404906,small,small,6019.298439670237,94.59843967023698,1.5966789823997332,190.7866491861605,3.2201908820051734,True
T22,S2414,0.0,1,500.0,1006.5162173451328,-506.51621734513276,506.51621734513276,101.30324346902655,small,small,982.2314714418975,482.2314714418975,96.44629428837949,24.28474590323526,4.856949180647064,True
T22,S2416,0.0,1,7724.3,1000.15335671991,6724.14664328009,6724.14664328009,87.05185768652292,small,small,978.6308625071076,6745.669137492892,87.33049127419821,-21.522494212802485,-0.27863358767528723,False
T22,S2417,2.0,5,66304.7,6741.610292826136,59563.08970717386,59563.08970717386,89.83237946506637,small,small,6495.613259402375,59809.086740597624,90.20338941371823,-245.99703342376597,-0.3710099486518601,False
T22,S2418,2.0,6,13666.3,6482.492804600687,7183.807195399312,7183.807195399312,52.56585319654414,small,small,6230.208372645765,7436.091627354234,54.41188637271416,-252.28443195492218,-1.8460331761700175,False
T22,S2419,0.0,1,537.6,1085.3554300373612,-547.7554300373612,547.7554300373612,101.8890308849258,small,small,1013.1530165207938,475.5530165207938,88.45852241830241,72.20241351656739,13.430508466623394,True
T3,S242,3.5,7,8075.8,6115.232262813198,1960.5677371868023,1960.5677371868023,24.2770714627257,small,small,6446.098308816224,1629.7016911837763,20.18006502369767,330.866046003026,4.097006439028032,True
T22,S2424,3.0,1,789.0,1228.7373662269,-439.7373662268999,439.7373662268999,55.73350649263623,small,small,1230.510976202668,441.51097620266796,55.958298631516854,-1.7736099757680677,-0.22479213888062333,False
T22,S2425,0.0,1,2223.5,1085.3554300373612,1138.1445699626388,1138.1445699626388,51.187073081296994,small,small,1013.1530165207938,1210.3469834792063,54.434314525712004,-72.2024135165675,-3.2472414444150104,False
T22,S2428,0.0,3,3390.4,2855.7261137599526,534.6738862400475,534.6738862400475,15.770230245400175,small,small,2669.6687375340293,720.7312624659708,21.25800089859517,-186.05737622592324,-5.487770653194996,False
T3,S243,2.0,5,4339.5,4624.949580188697,-285.4495801886969,285.4495801886969,6.5779370938748,small,small,4978.966715164157,639.466715164157,14.735953800303193,-354.01713497546007,-8.158016706428393,False
T22,S2430,0.0,1,791.5,1085.3554300373612,-293.8554300373612,293.8554300373612,37.12639671981822,small,small,1013.1530165207938,221.6530165207938,28.004171386076287,72.20241351656739,9.12222533374193,True
T22,S2432,0.0,5,7292.7,6481.895089685168,810.8049103148314,810.8049103148314,11.118034614269495,small,small,6744.0030085129465,548.6969914870533,7.523921064722988,262.1079188277781,3.594113549546507,True
T22,S2433,0.5,1,1631.6,1144.9843565506073,486.61564344939256,486.61564344939256,29.824444928254017,small,small,1063.8373818614166,567.7626181385833,34.7979050097195,-81.14697468919076,-4.973460081465483,False
T22,S2434,0.0,3,3777.2,7684.15856516476,-3906.9585651647603,3906.9585651647603,103.43531094897705,small,small,6522.6690073977325,2745.4690073977326,72.68529618229728,1161.4895577670277,30.75001476667977,True
T22,S2436,0.0,1,4452.1,1085.3554300373612,3366.744569962639,3366.744569962639,75.62149479936747,small,small,1013.1530165207938,3438.9469834792067,77.24325562047586,-72.2024135165675,-1.6217608211083956,False
T22,S2437,0.0,1,1054.8,1091.2653171453958,-36.46531714539583,36.46531714539583,3.457083536726947,small,small,1019.3747922067145,35.425207793285495,3.358476279226915,1.0401093521103348,0.09860725750003185,True
T3,S244,9.0,6,9766.4,15020.1526268663,-5253.7526268663005,5253.7526268663005,53.79415779474833,medium,small,15678.484415518109,5912.084415518109,60.53494036203831,-658.3317886518089,-6.740782567289983,False
T22,S2446,5.0,2,3339.9,36917.13968031596,-33577.23968031596,33577.23968031596,1005.3366771554824,medium,small,37035.845059624786,33695.945059624784,1008.8908368401684,-118.7053793088271,-3.554159684685942,False
T22,S2448,3.0,1,783.4,1319.620876632799,-536.2208766327991,536.2208766327991,68.44790357835066,small,small,1343.2986121797746,559.8986121797747,71.4703359943547,-23.677735546975555,-3.022432416004037,False
T22,S2449,11.0,6,5669.1,17138.391344878662,-11469.291344878662,11469.291344878662,202.3123837095599,medium,small,16604.555025981612,10935.455025981611,192.8957863855217,533.8363188970507,9.416597324038207,True
T3,S245,8.0,12,10533.9,25736.65300359316,-15202.753003593161,15202.753003593161,144.32216941107436,medium,small,25046.859799827518,14512.959799827519,137.77385203796808,689.7932037656428,6.548317373106272,True
T22,S2451,0.0,6,24958.4,7806.03955988045,17152.36044011955,17152.36044011955,68.72379816061746,small,small,7352.949085950592,17605.45091404941,70.53918085313725,-453.09047392985667,-1.8153826925197905,False
