team_id,sprint_id,planned_story_points,total_tasks,actual_sprint_cost,initial_predicted_sprint_cost,residual,initial_absolute_error,initial_absolute_percentage_error,sprint_size_band,small_vs_large,mid_predicted_sprint_cost,mid_absolute_error,mid_absolute_percentage_error,mid_absolute_error_improvement,mid_percentage_error_improvement,mid_beats_initial
T21,S1841,0.0,10,1500.0,1857.20815298738,-357.2081529873799,357.2081529873799,23.813876865825325,small,small,1797.8161072698008,297.8161072698008,19.854407151320054,59.392045717579094,3.9594697145052713,True
T21,S1851,5.0,1,500.0,1144.5821765550686,-644.5821765550686,644.5821765550686,128.91643531101371,medium,small,1143.991087431614,643.991087431614,128.7982174863228,0.5910891234545943,0.11821782469090181,True
T21,S1854,0.0,1,500.0,506.1657463931751,-6.165746393175084,6.165746393175084,1.2331492786350169,small,small,511.1444716841159,11.1444716841159,2.22889433682318,-4.978725290940815,-0.9957450581881631,False
T21,S1858,0.0,1,500.0,506.1657463931751,-6.165746393175084,6.165746393175084,1.2331492786350169,small,small,511.1444716841159,11.1444716841159,2.22889433682318,-4.978725290940815,-0.9957450581881631,False
T21,S1860,0.0,3,1000.0,1438.2873828203947,-438.28738282039467,438.28738282039467,43.82873828203947,small,small,1385.2892497913376,385.2892497913376,38.52892497913376,52.998133029057044,5.299813302905704,True
T21,S1862,0.0,1,500.0,526.0298620239365,-26.029862023936516,26.029862023936516,5.205972404787303,small,small,526.9801126176899,26.980112617689883,5.396022523537977,-0.950250593753367,-0.19005011875067357,False
T21,S1876,0.0,3,1000.0,1461.9530458703673,-461.9530458703673,461.9530458703673,46.19530458703673,small,small,1405.9771188925993,405.97711889259926,40.59771188925993,55.97592697776804,5.597592697776804,True
T21,S1881,8.0,2,1000.0,4040.7962628304444,-3040.7962628304444,3040.7962628304444,304.07962628304443,medium,small,3652.067830474761,2652.067830474761,265.2067830474761,388.72843235568325,38.872843235568325,True
T21,S1883,0.0,1,500.0,588.4365261340042,-88.43652613400423,88.43652613400423,17.687305226800845,small,small,577.7587224638489,77.75872246384893,15.551744492769783,10.6778036701553,2.1355607340310616,True
T21,S1887,3.0,2,500.0,1399.605378248887,-899.6053782488871,899.6053782488871,179.9210756497774,small,small,1392.9520349284305,892.9520349284305,178.59040698568612,6.653343320456543,1.3306686640912915,True
T21,S1889,0.0,1,500.0,616.8366304529196,-116.83663045291962,116.83663045291962,23.367326090583923,small,small,600.8196319010323,100.81963190103227,20.163926380206455,16.016998551887355,3.203399710377468,True
T21,S1890,3.0,1,500.0,882.354712685709,-382.35471268570905,382.35471268570905,76.47094253714181,small,small,850.1251245756811,350.12512457568107,70.02502491513621,32.229588110027976,6.445917622005595,True
T21,S1892,0.0,1,500.0,626.4205869308022,-126.42058693080219,126.42058693080219,25.28411738616044,small,small,617.4414847437497,117.4414847437497,23.48829694874994,8.97910218705249,1.795820437410498,True
T21,S1895,0.0,2,500.0,1158.4497900203326,-658.4497900203326,658.4497900203326,131.6899580040665,small,small,1154.9269900103404,654.9269900103404,130.98539800206808,3.5228000099921246,0.7045600019984306,True
T21,S1897,2.0,1,500.0,1055.360060632548,-555.3600606325481,555.3600606325481,111.0720121265096,small,small,1107.0715033054864,607.0715033054864,121.41430066109729,-51.71144267293835,-10.34228853458768,False
T21,S1898,0.0,5,1000.0,1450.0637926222453,-450.0637926222453,450.0637926222453,45.00637926222453,small,small,1380.9581938303036,380.95819383030357,38.09581938303035,69.1055987919417,6.9105598791941745,True
T21,S1903,0.5,1,500.0,645.8057682206769,-145.8057682206769,145.8057682206769,29.16115364413538,small,small,634.391158102653,134.39115810265298,26.878231620530595,11.414610118023916,2.282922023604783,True
T21,S1905,0.0,1,500.0,626.4205869308022,-126.42058693080219,126.42058693080219,25.28411738616044,small,small,617.4414847437497,117.4414847437497,23.48829694874994,8.97910218705249,1.795820437410498,True
T21,S1907,0.0,1,500.0,626.4205869308022,-126.42058693080219,126.42058693080219,25.28411738616044,small,small,617.4414847437497,117.4414847437497,23.48829694874994,8.97910218705249,1.795820437410498,True
T21,S1911,13.0,2,1000.0,5236.205690447383,-4236.205690447383,4236.205690447383,423.62056904473826,medium,large,4540.662171115255,3540.6621711152548,354.0662171115255,695.5435193321282,69.55435193321279,True
T21,S1914,0.0,2,1000.0,1357.095165229971,-357.0951652299709,357.0951652299709,35.70951652299709,small,small,1405.547134360658,405.547134360658,40.554713436065796,-48.451969130687075,-4.845196913068705,False
T21,S1915,5.0,4,1000.0,4736.9850117438855,-3736.9850117438855,3736.9850117438855,373.6985011743886,medium,small,4540.219975764531,3540.2199757645312,354.02199757645315,196.76503597935425,19.676503597935437,True
T21,S1920,0.0,1,500.0,628.8784892113094,-128.87848921130944,128.87848921130944,25.77569784226189,small,small,618.8138503746806,118.81385037468056,23.76277007493611,10.064638836628887,2.012927767325781,True
T21,S1924,0.0,3,1000.0,1596.8433461195268,-596.8433461195268,596.8433461195268,59.684334611952686,small,small,1562.1056825409448,562.1056825409448,56.21056825409448,34.73766357858199,3.473766357858203,True
T21,S1926,0.0,1,500.0,630.6209944263215,-130.62099442632154,130.62099442632154,26.12419888526431,small,small,620.5285126232152,120.52851262321519,24.10570252464304,10.092481803106352,2.0184963606212705,True
T21,S1927,1.0,1,500.0,786.9708288584633,-286.9708288584633,286.9708288584633,57.39416577169265,small,small,819.6615295077606,319.66152950776063,63.93230590155212,-32.690700649297355,-6.538140129859471,False
T21,S1929,0.0,3,500.0,1708.747932607409,-1208.747932607409,1208.747932607409,241.74958652148183,small,small,1553.2131930309533,1053.2131930309533,210.64263860619067,155.53473957645565,31.10694791529116,True
T21,S1932,0.0,2,1000.0,2691.470679462406,-1691.4706794624062,1691.4706794624062,169.1470679462406,small,small,2550.8246499447823,1550.8246499447823,155.08246499447824,140.6460295176239,14.064602951762367,True
